2025-07-31 11:41:44,924 - TransformerTrainer - INFO - Epoch 5 - Train Loss: 3.3708 - Val Loss: 3.1414 - Time: 132.08s - Blue_score: 11.31 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:44:01,586 - TransformerTrainer - INFO - Epoch 6 - Train Loss: 3.0907 - Val Loss: 2.9241 - Time: 131.98s - Blue_score: 14.74 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:46:15,111 - TransformerTrainer - INFO - Epoch 7 - Train Loss: 2.8881 - Val Loss: 2.7418 - Time: 131.94s - Blue_score: 17.85 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:48:31,811 - TransformerTrainer - INFO - Epoch 8 - Train Loss: 2.7272 - Val Loss: 2.6084 - Time: 132.03s - Blue_score: 19.40 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:50:48,431 - TransformerTrainer - INFO - Epoch 9 - Train Loss: 2.5860 - Val Loss: 2.4928 - Time: 131.96s - Blue_score: 23.53 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:53:05,171 - TransformerTrainer - INFO - Epoch 10 - Train Loss: 2.4674 - Val Loss: 2.3897 - Time: 132.09s - Blue_score: 24.47 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:55:21,881 - TransformerTrainer - INFO - Epoch 11 - Train Loss: 2.3620 - Val Loss: 2.3091 - Time: 132.00s - Blue_score: 25.33 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:57:38,314 - TransformerTrainer - INFO - Epoch 12 - Train Loss: 2.2705 - Val Loss: 2.2259 - Time: 131.68s - Blue_score: 26.66 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 11:59:54,742 - TransformerTrainer - INFO - Epoch 13 - Train Loss: 2.1870 - Val Loss: 2.1654 - Time: 131.74s - Blue_score: 29.52 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 12:02:11,242 - TransformerTrainer - INFO - Epoch 14 - Train Loss: 2.1116 - Val Loss: 2.1085 - Time: 131.87s - Blue_score: 29.81 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 12:04:37,953 - TransformerTrainer - INFO - Epoch 15 - Train Loss: 2.0466 - Val Loss: 2.0600 - Time: 131.81s - Blue_score: 29.87 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 12:06:58,392 - TransformerTrainer - INFO - Epoch 16 - Train Loss: 1.9842 - Val Loss: 2.0167 - Time: 131.84s - Blue_score: 30.44 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
2025-07-31 12:09:15,605 - TransformerTrainer - INFO - Epoch 17 - Train Loss: 1.9277 - Val Loss: 1.9861 - Time: 132.23s - Blue_score: 31.87 - CPU Mem: 2282.96MB | GPU alloc: 2282.96MB | GPU cache: 19370.00MB
